ID	FluxPsiDiff	NumIsoform	Type	RegP	FluxPsiG1	FluxPsiG2	TotalCountG1	TotalCountG2
ASM#10889	0.0	38	NA	1	1.0	1.0	41.0	28.0
ASM#10890	0.48193732444000004	2	NA	1	0.51806267556	0.3333333333333333	98.66666666666667	0.3333333333333333
ASM#10891	0.031357268716333375	8	NA	0.144648416228681	0.5615588393366666	0.5302015706203332	151.0	167.66666666666666
ASM#10892	0.1957521055556667	7	NA	0.00210903623052278	0.7722943722946667	0.9680464778503334	33.666666666666664	30.666666666666668
ASM#10893	0.195632846686	32	NA	0.327636631625355	0.4998057498053334	0.6954385964913333	12.0	20.666666666666668
ASM#10894	0.07766286001599998	17	NA	0.129285797472145	0.821733821734	0.744070961718	22.666666666666668	35.333333333333336
ASM#10895	0.004558252222000014	2	SE	0.723543475538637	0.7257787207293332	0.7303369729513333	102.0	169.33333333333334
ASM#10896	0.06522961595579999	31	NA	0.0175122911796563	0.43013076556166663	0.48850458748099995	392.0	426.3333333333333
ASM#10897	0.021004177507666588	3	NA	0.411528555322898	0.7819937576429999	0.7609895801353334	321.6666666666667	396.6666666666667
ASM#10898	0.001397788783666698	2	NA	0.137513686327794	0.994745955045	0.9961437438286667	380.6666666666667	606.3333333333334
ASM#10899	NA	2	NA	NA	NA	NA	0.0	2.0
ASM#10900	NA	2	NA	NA	NA	NA	0.0	3.0
ASM#10901	0.09947768281100011	5	NA	0.125669921407592	0.659090909091	0.7585685919020001	10.666666666666666	25.0
ASM#10902	0.5423014295516666	55	NA	1.0184548929986e-06	0.140879917184	0.6831813467356667	168.0	355.3333333333333
ASM#10903	0.03775208327343334	17	NA	0.334991012552559	0.621489253693	0.6016925803150001	496.0	432.0
ASM#10904	NA	7	NA	NA	NA	NA	0.0	0.0
ASM#10905	0.07397395126510002	2	NA	0.175969013995571	0.9734471313416666	0.8994731800766668	37.666666666666664	30.333333333333332
ASM#10906	0.004403633626666625	2	SE	0.617652845881813	0.9511419443353333	0.9467383107086667	41.0	30.666666666666668
ASM#10907	0.05734392769066665	3	NA	0.103720256024364	0.8610088779113333	0.8036649502206666	375.6666666666667	407.6666666666667
ASM#10908	0.0017912159721673333	2	NA	0.0655843679045198	1.0	0.998208784028	4.0	977.0
ASM#10909	0.008785232058176667	2	NA	0.0884358516243928	1.0	0.991214767942	15.666666666666666	303.3333333333333
ASM#10910	NA	2	NA	NA	NA	NA	2.3333333333333335	9.0
ASM#10911	0.02958760371800001	25	NA	0.558214137612523	0.46226162486933337	0.46039988930433334	59.0	78.66666666666667
ASM#10912	0.16209116553966668	13	NA	0.197694468882935	0.5236874236873333	0.5983977708113333	14.0	30.333333333333332
ASM#10913	0.43751023751033336	2	NA	0.184638712946595	1.0	0.5624897624896666	13.666666666666666	36.666666666666664
ASM#10914	0.43751023751033336	2	NA	0.184638712946595	1.0	0.5624897624896666	13.666666666666666	36.666666666666664
ASM#10915	0.040904084741666624	3	NA	0.0284030225277008	0.49424815775633335	0.5042985580246667	419.6666666666667	515.3333333333334
ASM#10916	0.09466512510633329	268	NA	0.0373181744146971	0.20927379114166667	0.30393891624799996	416.0	366.3333333333333
ASM#10917	0.0045326053570333424	3	NA	0.631158232090823	0.9206650376333334	0.9238924869516666	666.3333333333334	1917.6666666666667
ASM#10918	NA	39	NA	NA	NA	NA	1.0	5.333333333333333
ASM#10919	0.0144243227122	2	SE	0.436491279115697	0.9645695226183334	0.9789938453303333	121.66666666666667	113.33333333333333
ASM#10920	0.1223771900463334	50	NA	0.0112124735709834	0.8473304473306666	0.7249532572843332	13.333333333333334	40.0
ASM#10921	0.27646957284100004	36	NA	0.00459957104770111	0.5714285714286667	0.3540750244376667	8.333333333333334	32.0
ASM#10922	0.012820512820666763	2	NA	0.422649730810375	1.0	0.9871794871793332	23.666666666666668	22.666666666666668
ASM#10923	0.07516844039826667	50	NA	0.000398555289732965	0.4923418554549999	0.4240336530973334	74.33333333333333	194.0
ASM#10924	0.021291985012999892	16	NA	0.102794288650833	0.937787932201	0.9590799172139999	323.6666666666667	675.6666666666666
ASM#10925	0.0038790314068466664	2	SE	0.119475051902971	0.993728564045	0.9898495326383333	638.0	652.6666666666666
ASM#10926	NA	3	NA	NA	NA	NA	1.3333333333333333	0.3333333333333333
ASM#10927	0.0064589201883333835	2	NA	0.313894659473957	0.988461815765	0.9820028955766666	259.0	336.3333333333333
ASM#10928	0.016237671897333356	8	NA	0.349846041051383	0.825669316687	0.8385548059026666	235.0	332.3333333333333
ASM#10929	0.01696975478333329	2	NA	0.467866685979193	0.9272757188103333	0.910305964027	154.33333333333334	212.33333333333334
ASM#10930	0.06370377928266668	166	NA	0.0184879985448627	0.41988741764200005	0.358862796642	197.33333333333334	293.6666666666667
ASM#10931	0.09864615610566667	40	NA	0.363422260910396	0.7799422799423334	0.8041894140683334	22.333333333333332	221.0
ASM#10932	0.08103767378786668	3	NA	0.000144422779338134	0.876801546878	0.9558560017493333	184.0	308.3333333333333
ASM#10933	0.10677241162933337	6	NA	0.000922842557589296	0.6176825556066666	0.724454967236	184.0	308.3333333333333
ASM#10934	0.17634680134666658	3	NA	0.00394211978076844	0.9791666666666666	0.80281986532	15.666666666666666	15.0
ASM#10935	0.6446768101176668	4	NA	0.000161182002799017	0.8744747899156667	0.229797979798	15.666666666666666	15.0
ASM#10936	0.018318813324666672	4	NA	0.616597344042842	0.556423690903	0.5381048775783334	44.333333333333336	70.33333333333333
ASM#10937	0.014949766498333572	3	NA	0.382724535426935	0.9772497472193334	0.9622999807209999	44.333333333333336	70.33333333333333
ASM#10938	0.15168845315899998	9	NA	0.151561861135558	0.47276688453166665	0.3210784313726667	17.666666666666668	16.666666666666668
ASM#10939	NA	2	NA	NA	NA	NA	8.0	9.333333333333334
ASM#10940	0.02074147399833315	27	NA	6.78344519210682e-05	0.9855137570993332	0.964772283101	1358.0	985.0
ASM#10941	0.015609463784333255	4	NA	0.521388500282809	0.5667202378256667	0.58232970161	196.0	280.3333333333333
ASM#10942	0.000663220378333329	2	NA	0.662757584968695	0.9988207547169999	0.9981575343386666	847.0	2193.6666666666665
ASM#10943	0.0019647400090033336	5	NA	0.341930938974212	0.996047745956	0.9942515124426666	847.0	2193.6666666666665
ASM#10944	0.29629629629633336	3	NA	0.468248034274841	0.6666666666666666	0.962962962963	2.3333333333333335	23.333333333333332
