ID	FluxPsiDiff	NumIsoform	Type	RegP	FluxPsiG1	FluxPsiG2	TotalCountG1	TotalCountG2
ASM#10612	0.1614289493371333	31	NA	8.0240661749e-08	0.7798633955416667	0.885624660879	153.33333333333334	96.0
ASM#10613	0.0629493893773333	9	NA	0.0299234166135	0.964912280702	0.9019628913246667	41.666666666666664	95.66666666666667
ASM#10614	NA	62	NA	NA	NA	NA	5.666666666666667	6.0
ASM#10615	NA	2	NA	NA	NA	NA	8.0	1.6666666666666667
ASM#10616	NA	3	NA	NA	NA	NA	8.0	1.6666666666666667
ASM#10617	0.10342672841199996	62	NA	6.74065982315e-06	0.9105758405006666	0.8071491120886667	152.66666666666666	149.33333333333334
ASM#10618	0.1883362251784666	9	NA	0.0440519064451	0.659649122807	0.8479853479853333	21.0	13.333333333333334
ASM#10619	0.007703742978000028	26	NA	0.656129287136	0.5568103271493334	0.5499872067170001	705.3333333333334	546.0
ASM#10620	0.23019733534466674	22	NA	0.0132000332038	0.5494281045753334	0.3192307692306667	17.0	15.666666666666666
ASM#10621	0.08758982675419999	20	NA	0.0411030857287	0.9752747252746667	0.8876848985206666	27.666666666666668	20.0
ASM#10622	0.07789720056800009	23	NA	0.0525562468433	0.7445680166993333	0.8224652172673333	58.333333333333336	75.33333333333333
ASM#10623	NA	3	NA	NA	NA	NA	3.3333333333333335	2.6666666666666665
ASM#10624	NA	2	NA	NA	NA	NA	7.0	6.666666666666667
ASM#10625	0.12217675937833328	118	NA	4.00750042545e-09	0.45610699161333335	0.5782837509916666	325.0	466.3333333333333
ASM#10626	NA	4	NA	NA	NA	NA	3.3333333333333335	4.333333333333333
ASM#10627	NA	126	NA	NA	NA	NA	4.333333333333333	3.6666666666666665
ASM#10628	0.0012005971969999418	8	NA	0.19389603583	0.99278419642	0.993984793617	6620.333333333333	4333.0
ASM#10629	0.02643233710366666	19	NA	1.36867555319e-64	0.9584273234863333	0.9319949863826666	15739.0	10165.333333333334
ASM#10630	0.12337163210099997	159	NA	0.0305447132386	0.5843108504396667	0.5805987974629999	33.0	62.666666666666664
ASM#10631	NA	18	NA	NA	NA	NA	0.6666666666666666	6.333333333333333
ASM#10632	0.02287052228816667	3	NA	0.000588893100723	0.9671239127126666	0.9449000487060001	545.3333333333334	517.0
ASM#10633	NA	13	NA	NA	NA	NA	19.0	0.3333333333333333
ASM#10634	0.0009016116776665584	4	NA	0.94602788372	0.9828640936399999	0.9819624819623334	115.66666666666667	130.0
ASM#10635	0.0012251908206733324	2	NA	0.647723511944	0.992674411782	0.9938996026026666	268.6666666666667	891.0
ASM#10636	0.0012251908206733324	2	NA	0.647723511944	0.992674411782	0.9938996026026666	268.6666666666667	891.0
ASM#10637	0.00852258753633317	3	NA	0.502906176539	0.9000627295106667	0.9085853170469999	435.0	463.6666666666667
ASM#10638	0.008522026349400025	4	NA	0.492374117935	0.8912117449660001	0.8971014661019999	439.3333333333333	469.6666666666667
ASM#10639	0.037121212121	112	NA	0.457465823288	0.272119500086	0.309240712207	49.333333333333336	54.0
ASM#10640	0.021128170269666624	29	NA	0.409879248698	0.963963963964	0.9428357936943333	36.666666666666664	57.0
ASM#10641	0.01444312211983334	2	NA	0.557762909189	0.9561713340620001	0.9417282119423334	45.666666666666664	68.66666666666667
ASM#10642	NA	26	NA	NA	NA	NA	4.333333333333333	5.333333333333333
ASM#10643	0.041323179296333445	10	NA	0.670981359185	0.6954842543076666	0.736807433604	20.0	21.333333333333332
ASM#10644	0.13156565656600006	23	NA	0.155731243648	0.69797979798	0.5664141414139999	11.0	30.666666666666668
ASM#10645	0.10151054831999995	9	NA	4.95235174084e-09	0.639302054155	0.537791505835	537.6666666666666	539.3333333333334
ASM#10646	0.1019842639009999	41	NA	0.000236314930107	0.4413488499566667	0.5433331138576666	173.33333333333334	317.0
ASM#10647	NA	5	NA	NA	NA	NA	1.3333333333333333	4.333333333333333
ASM#10648	0.2717641083994333	8	NA	1.20350196478e-06	0.9264928193499999	0.6982850223640001	44.666666666666664	43.333333333333336
ASM#10649	NA	31	NA	NA	NA	NA	0.3333333333333333	0.3333333333333333
ASM#10650	0.15888907013200004	2	SE	0.999996362197	0.841110929868	1.0	121.33333333333333	25.0
ASM#10651	0.023518979543666663	4	NA	0.740346771819	0.6233486943159999	0.5998297147723334	33.666666666666664	28.333333333333332
ASM#10652	0.039101020525333374	2	NA	0.247214466722	0.982456140351	0.9433551198256667	21.0	17.0
ASM#10653	NA	2	NA	NA	NA	NA	0.6666666666666666	1.6666666666666667
ASM#10654	0.1547699214366668	24	NA	0.0954292381344	0.5126984126986667	0.6674683341353335	16.666666666666668	15.0
ASM#10655	0.03827148055033336	20	NA	0.0759071012126	0.8913735983686667	0.9296450789190001	100.33333333333333	157.66666666666666
ASM#10656	0.046165347708666704	20	NA	0.106711539522	0.36811646462200004	0.32195111691333334	176.66666666666666	224.66666666666666
ASM#10657	NA	2	SE	NA	NA	NA	0.0	17.333333333333332
ASM#10658	NA	2	NA	NA	NA	NA	4.333333333333333	2.3333333333333335
ASM#10659	NA	66	NA	NA	NA	NA	4.666666666666667	3.0
ASM#10660	0.33333333333333337	3	NA	0.999999914339	1.0	0.6666666666666666	269.6666666666667	0.6666666666666666
ASM#10661	0.25988079023033334	3	NA	0.999999337562	0.7096735701233333	0.6666666666666666	269.6666666666667	0.6666666666666666
ASM#10662	0.4840909090906667	22	NA	0.999999337562	0.4840909090906667	0.0	37.0	0.0
ASM#10663	NA	2	NA	NA	NA	NA	0.6666666666666666	0.0
ASM#10664	0.0879271135373334	4	NA	0.510813107779	0.522222222222	0.6101493357593334	5.666666666666667	41.333333333333336
ASM#10665	NA	5	NA	NA	NA	NA	1.6666666666666667	11.0
ASM#10666	0.08370284686076668	2	NA	0.99999574381	0.9162971531393334	1.0	39.666666666666664	35.0
ASM#10667	0.0035761345965133334	8	NA	0.0476437800297	0.9900193413706666	0.993308675627	1090.6666666666667	663.6666666666666
ASM#10668	0.0035699132436666225	2	SE	0.0473988892921	0.9948602280436667	0.9984301412873333	1093.0	666.0
ASM#10669	0.046717171717233316	6	NA	0.786593567282	0.8421717171716666	0.8819444444443333	13.0	12.333333333333334
ASM#10670	0.11836219336233328	9	NA	0.0494438890778	0.461111111111	0.4085858585856667	31.333333333333332	39.0
ASM#10671	NA	59	NA	NA	NA	NA	7.0	9.666666666666666
ASM#10672	0.10734126984133333	9	NA	0.178320175118	0.8484126984126666	0.7410714285713333	19.666666666666668	14.0
ASM#10673	0.050569800570000045	2	NA	0.5930927123	0.8425925925926666	0.8931623931626667	8.666666666666666	12.333333333333334
ASM#10674	0.09236270265700008	5	NA	0.392903193343	0.5025252525253333	0.5948879551823334	11.333333333333334	15.666666666666666
ASM#10675	0.16521164021166657	13	NA	0.12097437109	0.7314814814816666	0.56626984127	11.0	19.0
ASM#10676	0.16105822954653334	7	NA	0.0108643449132	0.7522531819746666	0.8944099378883333	17.0	21.666666666666668
ASM#10677	0.019370818857666672	5	NA	0.761903103382	0.5228050725483333	0.5034342536906666	41.0	61.666666666666664
ASM#10678	0.009780478197000009	2	NA	0.793390821637	0.8700353989186667	0.8602549207216666	41.0	61.666666666666664
ASM#10679	0.027777777777766664	2	NA	0.98704091688	1.0	0.9722222222223333	16.333333333333332	26.0
ASM#10680	0.15773318099133332	13	NA	0.105076813526	0.501388888889	0.436729077596	15.333333333333334	19.0
ASM#10681	0.06207639312166657	82	NA	1.48682919897e-05	0.7453454224953333	0.6832690293736667	674.6666666666666	746.3333333333334
ASM#10682	NA	6	NA	NA	NA	NA	1.3333333333333333	2.3333333333333335
ASM#10683	0.004848173269233334	2	NA	0.613790675969	0.9848103163893334	0.9896584896583334	87.66666666666667	67.66666666666667
ASM#10684	NA	7	NA	NA	NA	NA	0.0	7.333333333333333
ASM#10685	NA	9	NA	NA	NA	NA	0.0	9.666666666666666
ASM#10686	0.13596914992766668	3	NA	0.126675641952	0.614230019493	0.47826086956533337	19.0	25.666666666666668
ASM#10687	0.13232600732603333	4	NA	0.176341900382	0.9583333333333334	0.8260073260073333	7.333333333333333	13.333333333333334
ASM#10688	NA	14	NA	NA	NA	NA	6.0	12.0
ASM#10689	0.06085178911261	16	NA	0.00177407024658	0.845027221839	0.8823861323859999	23.666666666666668	125.0
