ASM_name	total_isoforms	total_exons	total_read_count_group_1	total_read_count_group_2	iso_p_value	TruePsiDiff	turbo_p_value	majiq_p_value	leafcutter_p_value	jum_p_value
ASM0	2	4	47	2	0.154174691	0.833333333	NA	NA	NA	NA
ASM1	6	25	37737	52245	0.37760924	0.007281145	0.058	NA	0.376	0.0369
ASM2	5	19	5646	3168	NA	0.031554638	0.551	0.66	0.0308	0.0387
ASM3	2	3	637	588	0.370168999	0.012390821	0.0854	NA	NA	NA
ASM4	2	6	820	753	0.107581983	0.072045814	NA	NA	NA	NA
ASM5	4	6	2709	5569	0.00947536	0.15568228	0.0167	NA	NA	0.109
ASM6	2	3	12747	6599	0.813337826	0.000592625	1	NA	NA	NA
ASM7	6	16	6139	3086	NA	0.028006468	NA	NA	0.00103	0.0613
ASM8	3	5	958	5806	0.603609858	0.147089947	1	NA	NA	NA
ASM9	2	4	604	3294	0.300235503	0.01455015	NA	NA	NA	NA
ASM10	9	16	95397	67632	1	0.001245657	0.193	NA	0.106	0.0173
ASM11	2	4	30	53	0.711445225	0.25	NA	NA	NA	NA
ASM12	7	23	13905	13795	0.144292372	0.05362254	3.55E-15	NA	0.00104	0.0394
ASM13	2	4	367	153	0.327777995	0.014829913	NA	NA	NA	NA
ASM14	10	28	2114	736	NA	0	0.685	NA	NA	0.0976
ASM15	7	41	23865	14177	0.000324007	0.06445488	0.000281	NA	0.024	0.0234
ASM16	6	15	8591	11414	0.253078174	0	0.0804	NA	0.225	0.0508
ASM17	3	4	10388	9525	0.312272186	0.01335074	1	NA	NA	0.0611
ASM18	3	15	72013	87943	0.370752696	0.059484358	1.46E-05	NA	0.00493	0.0192
ASM19	9	22	3269	3778	0.187336716	0.027373288	0.946	NA	0.576	0.0439
ASM20	6	9	38590	53063	0.136086422	0.017774829	NA	NA	0.484	0.0162
ASM21	4	33	36919	19249	0.984744366	0.303968254	3.69E-06	NA	0.263	0.0216
ASM22	6	7	3559	3319	0.046070615	0.066427718	NA	NA	NA	0.0336
ASM23	9	10	19650	25532	0.996478544	0.015602921	NA	NA	0.921	0.0221
ASM24	3	5	2	166	0.016405297	1	NA	NA	NA	NA
ASM25	4	7	1634	11582	0.003850993	0.093602181	NA	NA	NA	0.0487
ASM26	9	23	13244	16277	NA	0.042261583	0.237	NA	NA	0.051
ASM27	2	3	3520	4415	0.765281248	0.005313811	0.0495	NA	NA	0.233
ASM28	4	8	42681	46009	1	0.028310271	NA	NA	NA	0.0241
ASM29	4	12	25160	11636	0.102206871	0.019389734	0.00214	NA	0.00835	0.0255
ASM30	2	3	338	82	0.067896635	0.211904762	NA	NA	NA	NA
ASM31	2	3	279	66	0.010958118	0.01984127	NA	NA	NA	0.0946
ASM32	3	7	1006	415	0.129239499	0.111741787	0.0106	NA	NA	0.135
ASM33	8	31	16941	13163	0.929041378	0	3.04E-11	NA	0.401	0.0213
ASM34	10	21	260040	162358	NA	0	1	NA	0.00797	0.0188
ASM35	7	10	339	1582	0.184539286	0.11885765	NA	NA	NA	0.082
ASM36	2	4	1	5	0.670026619	0.333333333	NA	NA	NA	NA
ASM37	5	13	71648	44478	0.226918884	0.012593269	NA	NA	0.543	0.0517
ASM38	10	28	1011	945	3.94E-08	0.166666667	0.246	0.675	NA	0.186
ASM39	9	14	23935	21744	0.770390165	0.061930453	0.00349	NA	0.014	0.0109
ASM40	9	14	20399	15067	0.007212572	0	0.000723	NA	0.00691	0.0532
ASM41	2	3	1983	169	0.230920946	0.068221034	0.541	NA	NA	0.0771
ASM42	2	5	2267	1905	0.906576821	0.07037037	NA	NA	0.0786	0.0244
ASM43	9	23	77	16647	0.823973854	0.966666667	NA	NA	NA	0.0694
ASM44	6	48	5408	7043	0.016328262	0.008126463	0.0347	0.731	2.87E-05	0.059
ASM45	4	22	7934	10354	0.996548474	0	0.0108	NA	NA	0.0322
ASM46	3	11	29	44	1	0	NA	NA	NA	NA
ASM47	2	7	25	73	0.960715776	0	NA	NA	NA	NA
ASM48	2	4	675	506	0.690915385	0.039328938	NA	NA	NA	NA
ASM49	3	7	14071	15783	0.694683199	0.001068376	1	NA	NA	0.0817
ASM50	7	37	18702	13384	0.579569414	0.019037876	NA	NA	NA	0.032
ASM51	5	9	1874	3353	0.570615135	0.325	0.573	NA	NA	NA
ASM52	3	6	10360	15240	0.166201565	0.022745136	0.452	NA	NA	NA
ASM53	3	5	51	43	0.809007839	0.166666667	NA	NA	NA	NA
ASM54	3	48	5379	7420	0.193971118	0.388888889	0.398	NA	NA	NA
ASM55	8	34	2535	1601	0.686655851	0	0.312	NA	0.819	0.0662
ASM56	2	3	15167	22313	0.827544199	0.073264722	NA	NA	NA	NA
ASM57	7	31	5354	4156	0.046341818	0.008638121	0.00363	0.889	0.0109	0.0698
ASM58	4	6	38302	35369	0.761900683	0.032892139	0.07	NA	0.0175	0.0114
ASM59	2	6	240	217	0.584929226	0.076298701	NA	NA	NA	NA
ASM60	10	18	45812	36463	3.56E-06	0.010816386	1	NA	0.000279	0.0193
ASM61	3	5	3134	2631	0.765175702	0.001529944	NA	NA	0.515	0.0587
ASM62	2	4	969	824	1	0.066447213	NA	NA	NA	NA
ASM63	4	7	11762	2915	0.050764915	0.042115856	0.346	NA	0.772	0.0491
ASM64	10	25	21372	5337	7.06E-08	0	NA	1.42E-16	3.98E-05	0.0301
ASM65	4	18	15225	14989	0.022536741	0.045384005	NA	NA	NA	NA
ASM66	9	19	6126	4296	0.001095598	0.100961783	0.816	NA	0.426	0.0632
ASM67	2	4	28639	16059	1	0.098901099	NA	NA	NA	0.0391
ASM68	2	3	11733	7045	0.736416355	0.010347303	NA	NA	0.378	0.0491
ASM69	9	15	13435	17840	0.954119133	0.098462812	0.0166	NA	NA	0.0442
ASM70	2	3	7	0	NA	0.611111111	NA	NA	NA	NA
ASM71	3	6	10188	3674	1	0.006856299	NA	NA	0.173	0.025
ASM72	8	32	4808	644	0.023495437	0.666666667	6.26E-06	NA	NA	0.102
ASM73	4	17	45102	31685	1	0.023111905	0.000207	NA	0.000609	0.00872
ASM74	5	8	78954	20361	0.93613415	0.13778953	0.438	NA	0.477	0.039
ASM75	3	8	2569	147	0.575022711	0.160041408	NA	NA	NA	NA
ASM76	2	5	1376	58	0.549253452	0.034811026	NA	NA	NA	NA
ASM77	4	40	18095	11900	0.13068897	0.130860667	0.0941	NA	0.0893	0.064
ASM78	6	18	544150	590920	1.73E-05	0.002018288	NA	NA	NA	0.0282
ASM79	4	6	314	404	0.073675624	0.185086387	0.0286	NA	NA	0.141
ASM80	2	3	1819	849	0.598993751	0.041621524	NA	NA	NA	0.0655
ASM81	4	7	4048	2118	0.970241164	0.035825113	NA	NA	NA	NA
ASM82	5	15	4233	5400	1.64E-05	0.062608636	0.15	NA	NA	0.091
ASM83	8	35	6927	1136	0.020360374	0	0.00112	NA	NA	0.0692
ASM84	6	24	72309	58413	4.44E-16	0.010356566	2.60E-06	NA	0.000357	0.0198
ASM85	2	4	5230	3819	0.016310342	0.064839954	NA	NA	NA	0.236
ASM86	5	8	3213	2891	0.002178085	0.127554245	0.117	NA	0.000315	0.0383
ASM87	6	13	6225	4246	0.013856448	0	NA	NA	0.457	0.0257
ASM88	5	11	3225	1989	0.089397801	0.014426681	NA	NA	NA	0.0561
ASM89	2	3	269	614	0.235391037	0.018545322	0.915	NA	NA	NA
ASM90	5	38	16218	12810	0.931734682	0.020833333	0.377	NA	0.419	0.028
ASM91	2	3	925	542	0.11078359	0.169118225	0.132	NA	0.333	0.0717
ASM92	5	23	35703	45478	0.460617407	0.122222222	0.826	NA	0.924	0.0807
ASM93	6	8	1684	1537	0.654241635	0	0.326	NA	0.401	0.0636
ASM94	4	8	1466	1490	0.239370388	0.313492063	0.326	NA	0.401	0.0636
ASM95	3	6	5179	4845	0.709234025	0.054942995	0.53	NA	NA	0.0678
ASM96	2	3	1291	1126	0.03005118	0.011111111	NA	NA	NA	NA
ASM97	4	11	6007	4692	0.561936537	0.002919365	0.0758	NA	0.688	0.0575
ASM98	8	29	1508	4011	NA	0	NA	NA	NA	0.115
ASM99	3	22	35216	40844	0.674724703	0.032426044	0.00242	NA	0.976	0.0369
ASM100	4	13	270	174	NA	0	NA	NA	NA	NA
ASM101	8	15	43567	58666	1	0.002432501	NA	NA	NA	NA
ASM102	2	3	3546	2774	0.383940796	0.000721037	1	NA	NA	NA
ASM103	2	4	3955	3131	0.882870806	0.000591723	1	NA	NA	0.0844
ASM104	2	3	1410	1031	0.582564769	0.400793651	NA	NA	NA	NA
ASM105	4	6	6587	7599	0.98584711	0.027987778	0.212	NA	NA	NA
ASM106	5	9	2934	5083	0.770622011	0.003665221	NA	NA	NA	NA
ASM107	10	17	1754	1629	0.262415053	0	1.25E-05	NA	0.946	0.0862
ASM108	3	5	1009	761	0.111010768	0.027170309	NA	NA	NA	NA
ASM109	3	5	1706	1120	0.312061925	0.027170309	0.206	NA	NA	0.0552
ASM110	9	21	4803	2353	0.892395092	0.057201093	NA	NA	NA	0.211
ASM111	2	4	287	67	0.843820445	0.411111111	NA	NA	NA	NA
ASM112	2	3	99	12	0.152367747	0.411111111	NA	NA	NA	NA
ASM113	2	4	22611	21556	1	0.014183092	NA	NA	NA	NA
ASM114	2	3	4664	3604	1	0.005110382	0.98	NA	0.692	0.0322
ASM115	8	25	56442	62158	0.836944951	0.002958398	0.00762	NA	NA	0.0397
ASM116	10	19	4684	3438	0.992169622	0.155691353	1	NA	NA	0.118
ASM117	2	3	18	27	0.25449934	0.166666667	0.0437	NA	NA	NA
ASM118	3	5	778	596	0.228911862	0.071074109	2.99E-05	NA	0.557	0.159
ASM119	10	9	9559	8678	NA	0.002494323	NA	NA	0.241	0.0416
ASM120	3	4	532	0	NA	0.952850877	NA	NA	NA	0.192
ASM121	3	5	250	0	NA	0.379166667	NA	NA	NA	0.386
ASM122	4	4	798	1390	0.02205937	0.242999834	0.0553	NA	0.0827	0.0519
ASM123	2	3	11560	6541	0.453506031	0.004527988	0.448	NA	NA	0.0504
ASM124	8	14	3930	2360	NA	0	0.00232	NA	0.46	0.0579
ASM125	6	14	1545	3649	NA	0	0.462	NA	NA	NA
ASM126	6	23	21258	15318	0.433511887	0.030939876	0.000319	NA	0.00727	0.034
ASM127	5	22	16613	8891	0.010110363	0.047153455	0.00791	NA	0.041	0.0253
ASM128	2	3	390	339	0.483671709	0.004107589	1	NA	NA	NA
ASM129	6	21	204279	143873	NA	0.012153963	0.0118	NA	0.297	0.141
ASM130	7	21	2678	3203	0.000472463	0.333333333	5.61E-06	1	0.00459	0.215
ASM131	2	3	326	268	0.126238738	0.074879559	0.0453	NA	NA	0.134
ASM132	4	15	3315	2933	0.453725745	0.031606386	NA	NA	NA	NA
ASM133	9	11	30676	19910	0.14529786	0	0.166	NA	0.021	0.0163
ASM134	2	3	59	18	0.635234292	0.1	1	NA	NA	NA
ASM135	2	4	88	23	0.014606368	0.1	1.28E-06	NA	NA	NA
ASM136	4	17	3843	2690	0.264119388	0.033135661	NA	NA	NA	0.0801
ASM137	2	3	83	15	0.062601541	0.005291005	1	NA	NA	NA
ASM138	2	4	63	22	0.105663608	0.005291005	1	NA	NA	0.181
ASM139	2	3	279	164	0.025009363	0.068253968	1.49E-05	NA	NA	NA
ASM140	3	4	479	270	0.522309031	0.282051282	NA	0.0000559	NA	NA
ASM141	2	5	32	0	NA	0.822222222	NA	NA	NA	NA
ASM142	3	5	4600	3285	0.971632916	0.021159265	0.705	NA	0.987	0.0883
ASM143	2	4	1892	1450	1	0.005581165	1	NA	NA	NA
ASM144	2	3	2375	1980	0.738599797	0.005581165	1	NA	NA	NA
ASM145	8	13	17378	25961	NA	0	1.38E-07	NA	0.024	0.0114
ASM146	2	4	0	512	NA	0.978701826	NA	NA	NA	NA
ASM147	2	4	5151	8189	0.479451707	0.011487556	NA	NA	NA	NA
ASM148	10	35	241	3617	NA	0.333333333	NA	NA	NA	NA
ASM149	5	14	3824	4680	0.098766278	0.087222291	0.082	NA	NA	0.0715
ASM150	5	8	1006	1064	0.380905281	0.049227692	0.00202	NA	NA	NA
ASM151	3	9	2747	1895	0.716687699	0.037377382	0.33	NA	0.175	0.0329
ASM152	2	3	2685	1633	0.52154684	0.014163319	0.111	NA	0.202	0.106
ASM153	2	3	2237	1454	0.806339711	0.022936252	0.793	NA	0.0448	0.0385
ASM154	4	38	21917	17800	0.645775679	0.666666667	0.197	NA	0.187	0.0198
ASM155	4	11	5436	8086	0.354196243	0.031754944	NA	NA	NA	NA
ASM156	2	7	58	5	0.278398977	0.166666667	NA	NA	NA	NA
ASM157	8	9	5301	4170	0.470988611	0.012670578	0.164	NA	NA	NA
ASM158	9	8	2328	1014	NA	0.012676985	0.142	NA	NA	0.0454
ASM159	2	4	2381	1035	0.400622987	0.027124554	NA	NA	0.301	0.27
ASM160	7	11	25427	17514	NA	0.010388923	0.846	NA	0.568	0.0093
ASM161	4	6	8860	6024	0.28960132	0.112450534	NA	NA	NA	NA
ASM162	8	11	8815	7930	0.193700513	0.026572629	0.00408	NA	0.0303	0.0119
ASM163	4	5	2310	2110	0.506529673	0.029082913	NA	NA	0.0303	0.0253
ASM164	2	4	2530	2353	0.277385654	0	NA	NA	NA	NA
ASM165	6	27	5647	3628	0.013526765	0.047522848	5.53E-05	0.757	0.000622	0.0703
ASM166	3	12	4833	3133	0.556987739	0.035714286	NA	NA	NA	NA
ASM167	2	3	7889	9929	1	0.054676321	0.854	NA	0.916	0.0321
ASM168	3	11	44705	25951	0.273942847	0.004454102	NA	NA	NA	0.0357
ASM169	5	14	60833	62571	NA	0.001420239	0.404	NA	0.845	0.049
ASM170	8	21	1507	135	NA	1	1	NA	NA	0.24
ASM171	10	19	1476	1052	0.038568005	0.098970985	0.0124	NA	NA	0.0898
ASM172	5	30	52202	39439	0.013374488	0	0.000685	NA	0.0398	0.0261
ASM173	8	28	35536	20233	0.050393487	0.012016663	1	NA	0.5	0.042
ASM174	2	3	3191	1851	0.774864203	0.007780848	0.399	NA	NA	0.0556
ASM175	2	4	2729	1541	0.788275545	0.010747547	0.838	NA	0.946	0.0298
ASM176	3	5	1934	686	0.000688875	0.56673336	NA	NA	0.000152	0.0644
ASM177	3	4	11371	5147	0.207234752	0.01979263	0.861	NA	0.14	0.0251
ASM178	2	3	14024	6284	0.303050144	0.007097558	1.99E-05	NA	0.0659	0.0492
ASM179	3	5	31925	14419	0.314165697	0.01612187	NA	NA	NA	0.0499
ASM180	2	5	506	278	0.114512004	0	NA	NA	NA	0.117
ASM181	2	3	272	129	0.35784037	0.092511655	NA	NA	NA	NA
ASM182	2	3	1317	900	0.266317344	0.005244564	0.0155	NA	NA	NA
ASM183	2	4	1126	682	0.309099049	0.011661774	NA	NA	NA	NA
ASM184	9	28	27595	37295	NA	0.229649355	0.000698	NA	0.00655	0.0306
ASM185	6	17	39272	45789	0.980444144	0	0.0079	NA	0.0103	0.0142
ASM186	2	4	775	493	0.363492826	0.116856251	NA	NA	NA	0.0424
ASM187	2	4	156	117	0.164435784	0	NA	NA	NA	NA
ASM188	6	17	6765	4215	NA	0.041666667	NA	NA	NA	0.173
ASM189	2	9	2076	3882	1	0	NA	NA	NA	NA
ASM190	3	5	2654	1284	0.110676379	0.085620442	NA	NA	NA	NA
ASM191	2	3	23977	28629	0.813649119	0.000202818	NA	NA	NA	0.0526
ASM192	3	7	60937	72867	1	0.000783358	NA	NA	NA	NA
ASM193	2	3	1299	1459	0.687923489	0.000994495	NA	NA	NA	NA
ASM194	2	10	20045	20501	0.639851894	0.000994495	NA	NA	NA	NA
ASM195	2	3	3317	2360	0.409263409	0.021557645	NA	NA	NA	NA
ASM196	2	4	751	326	0.055755319	0.021557645	NA	NA	NA	NA
ASM197	3	6	3990	3388	0.392601831	0.035544401	NA	NA	NA	0.339
ASM198	2	4	8928	7281	0.733599953	0.003650835	NA	NA	NA	NA
ASM199	8	19	9365	8012	0.124095476	0.021847497	0.221	NA	0.0657	0.0267
ASM200	8	25	11174	10488	1	0	0.371	NA	0.328	0.0295
ASM201	7	17	4515	3433	0.79352455	0.007665476	0.453	NA	NA	NA
ASM202	8	19	9775	10660	0.000950678	0.121621257	0.0656	NA	0.0183	0.0182
ASM203	4	7	856	1389	0.222327899	0.248773774	1.24E-10	0.987	NA	0.0768
ASM204	2	3	79	214	0.31293943	0.566666667	NA	NA	NA	NA
ASM205	5	20	0	1023	NA	0	NA	NA	NA	NA
ASM206	9	21	13325	8801	5.56E-07	0.017343292	0.0103	0.54	0.000428	0.0322
ASM207	2	4	3323	3634	0.68065815	0.003050779	0.133	NA	NA	0.0585
ASM208	5	11	152128	31151	0.02802575	0.032625411	1	NA	NA	0.0306
ASM209	4	10	5703	4178	0.351581187	0.006965623	0.299	NA	NA	NA
ASM210	6	24	5843	1890	8.36E-05	0.016414141	0.000431	NA	NA	0.0882
ASM211	7	10	10039	6684	0.063474582	0.125112739	0.00939	NA	0.00964	0.0249
ASM212	2	5	1418	863	0.944946106	0.031284607	NA	NA	NA	NA
ASM213	3	9	7971	4717	0.119487751	0.035160576	1	NA	NA	NA
ASM214	6	16	2765	3525	0.248951405	0.666666667	NA	NA	NA	0.132
ASM215	2	3	4592	2768	0.911726302	0.007351138	0.333	NA	0.103	0.0467
ASM216	2	4	2482	3353	0.001989978	0.063000116	NA	NA	NA	0.0957
ASM217	9	12	67623	29883	NA	0	NA	NA	0.232	0.016
ASM218	7	16	2018	2032	NA	0.088888889	1.68E-05	NA	NA	0.0998
ASM219	3	4	345	500	0.429273266	0.185661397	0.00836	NA	NA	NA
ASM220	2	4	3975	5561	0.579812352	0	NA	NA	NA	NA
ASM221	8	22	10700	9126	NA	0.283838384	0.46	NA	0.655	0.0287
ASM222	2	4	175992	32988	0.716782493	0.011934139	NA	NA	NA	0.0104
ASM223	9	32	46	4207	NA	0.8647768	NA	NA	NA	0.185
ASM224	4	23	10892	9256	0.589375572	0.333333333	0.185	NA	0.412	0.0389
ASM225	3	8	33984	31720	0.951392222	0.123294956	NA	NA	NA	0.0246
ASM226	2	3	2113	1680	1	0.001992091	1	NA	NA	NA
ASM227	2	3	3740	2992	0.481131557	0.001436782	1	NA	NA	NA
ASM228	2	3	14436	11101	0.219071236	0.009781037	0.0503	NA	NA	0.474
ASM229	6	7	1270	579	0.000331897	0.112757331	NA	NA	NA	0.486
ASM230	3	6	3936	1631	0.462461181	0.08805675	NA	NA	NA	NA
ASM231	3	7	1922	2453	0.055336203	0.006121516	NA	NA	0.605	0.0455
ASM232	7	10	4560	3949	0.749943007	0.036378479	NA	NA	0.974	0.0342
ASM233	3	7	2707	2122	NA	0	NA	NA	NA	NA
ASM234	5	14	27419	21306	NA	0.006274965	NA	NA	NA	NA
ASM235	2	3	40314	12244	1	0.039040696	NA	NA	0.0105	0.0273
ASM236	2	4	3759	2188	0.986943014	0.000183284	0.703	NA	0.822	0.0357
ASM237	3	8	22220	12205	0.1794185	0.011606888	0.0096	NA	0.0345	0.0228
ASM238	9	10	3536	2713	0.969696903	0.058787196	0.00762	NA	0.488	0.156
ASM239	6	27	2400	3804	0.003105725	0.175134409	0.14	NA	NA	0.0531
ASM240	9	40	8697	6955	1	0.5	0.182	NA	0.958	0.291
ASM241	3	7	20	238	0.204958429	0.378968254	NA	NA	NA	NA
ASM242	2	3	8831	5174	0.287891939	0.044694504	0.0848	NA	0.535	0.168
ASM243	6	14	11865	10753	0.341336384	0.333333333	NA	0.626	NA	0.0493
ASM244	3	5	15700	930	0.849088906	0.008256508	0.166	NA	0.723	0.018
ASM245	9	9	774	552	0.940153771	0.043655033	0.621	NA	0.36	0.0692
ASM246	3	5	438	337	0.799888476	0.05365622	NA	NA	NA	0.402
ASM247	5	14	9031	5967	0.177075429	0.008766638	0.00113	NA	0.0808	0.187
ASM248	2	3	5228	3970	0.904799086	0.008208824	0.444	NA	0.651	0.0676
ASM249	2	5	2107	1728	0.81906147	0.036277214	0.733	NA	NA	NA
ASM250	2	3	360	314	0.09767779	0.025870954	0.000275	NA	NA	NA
ASM251	3	4	0	549	NA	0.682539683	NA	NA	NA	NA
ASM252	6	16	28558	23104	NA	0.666666667	0.00579	NA	NA	0.0651
ASM253	4	6	13250	8642	0.668018348	0.030933132	NA	NA	0.673	0.0251
ASM254	7	8	2102	1518	0.499859669	0.666666667	NA	NA	0.384	0.102
ASM255	3	5	1067	736	0.883576349	0.098509507	0.728	NA	0.689	0.0523
ASM256	4	13	7419	5076	0.057138036	0.043415788	0.006	0.626	0.0593	0.0513
ASM257	6	26	6810	15929	0.804952717	0.333333333	0.0291	0.00303	0.0565	0.0403
ASM258	3	5	1881	3693	0.001093575	0.146955319	NA	NA	NA	NA
ASM259	4	18	3347	2528	0.018945036	0.10487395	0.0117	NA	0.97	0.0541
ASM260	6	13	1021	1220	0.926779726	0.118474427	0.135	NA	NA	0.0576
ASM261	2	5	2793	2006	0.469505541	0.132397504	NA	NA	NA	NA
ASM262	3	5	1736	1452	0.137130197	0.108948568	0.172	NA	0.0234	0.051
ASM263	2	3	309	314	0.555595482	0.021825397	NA	NA	NA	NA
ASM264	2	4	117	32	0.14293635	0.161904762	NA	NA	NA	NA
ASM265	4	7	443	406	0.365333193	0.116643489	0.113	NA	NA	0.101
ASM266	8	14	17364	17682	0.065644915	0	0.276	0.741	0.152	0.0381
ASM267	2	3	1473	1058	0.439944064	0.002054574	0.489	NA	NA	NA
ASM268	2	3	3309	3013	0.399073185	0.070535313	NA	NA	NA	NA
ASM269	10	17	13681	13397	0.236064216	0.080419423	0.00451	NA	0.262	0.0248
ASM270	7	17	2306	2284	0.976381554	0	NA	NA	NA	0.0821
ASM271	2	43	9137	7358	0.654663556	0.26957672	0.0349	NA	0.119	0.0884
ASM272	3	7	72	120	0.030195503	0.222222222	NA	NA	NA	NA
ASM273	9	17	8635	13055	0.564198362	0.011344538	0.129	NA	0.51	0.0467
ASM274	7	6	1939	1792	0.927764164	0.028985507	0.763	NA	0.763	0.0335
ASM275	2	8	7491	25999	0.191705831	0	NA	NA	NA	NA
ASM276	3	23	438	34122	0.010987618	0.037409089	4.83E-05	NA	NA	0.0561
ASM277	2	3	264	167	0.684465844	0.028042328	0.0646	NA	NA	NA
ASM278	2	3	8390	8808	0.684657758	0.000981102	1	NA	NA	NA
ASM279	2	4	9179	9359	0.750215178	0.002236946	1	NA	NA	NA
ASM280	2	5	5313	4868	0.87571704	0.07497595	NA	NA	NA	NA
ASM281	2	4	2530	2663	0.664401763	0.001529052	1	NA	NA	NA
ASM282	3	8	7830	8647	NA	0	NA	NA	NA	NA
ASM283	2	4	5199	4593	0.002469604	0.149508853	NA	NA	NA	0.0616
ASM284	9	10	1436	789	0.019703946	0.111196231	0.32	NA	NA	0.166
ASM285	2	3	195	182	0.169129748	0.021985905	NA	NA	NA	NA
ASM286	8	15	923	243	NA	0.057539683	0.0205	NA	NA	NA
ASM287	3	6	107	78	0.004022407	0.444444444	NA	NA	NA	NA
ASM288	2	3	2037	2022	0.630690613	0.002380952	NA	NA	NA	0.0719
ASM289	10	17	1855	1835	0.476328175	0.040890269	0.0224	NA	0.246	0.0314
ASM290	2	6	11085	8741	0.797201178	0.004901961	NA	NA	NA	0.0412
ASM291	3	4	3027	5401	8.23E-05	0.206449986	NA	1.60E-18	8.79E-05	0.0309
ASM292	2	6	23595	46068	0.848613465	0.015964156	NA	NA	NA	NA
ASM293	6	24	14810	19443	0.76302859	0.040518919	0.172	NA	0.286	0.0249
ASM294	2	4	2175	1496	0.947918781	0.098047999	0.545	NA	NA	0.0544
ASM295	2	4	64	3	0.839690157	0.5	NA	NA	NA	NA
ASM296	4	10	6297	13820	NA	0.005165065	0.655	NA	0.408	0.0486
ASM297	2	3	3769	2016	0.303120072	0.029467561	NA	NA	NA	0.0516
ASM298	2	4	2540	1387	0.883404193	0.012924764	0.498	NA	0.151	0.0393
ASM299	8	17	12376	18740	NA	0.014848593	1.83E-13	NA	0.00185	0.0172
ASM300	5	13	7568	5035	1	0.011836521	0.545	NA	NA	0.163
ASM301	3	6	451	206	0.013635838	0.466666667	NA	NA	NA	NA
ASM302	7	31	55336	25409	NA	0	1.74E-07	0.782	3.43E-05	0.0255
ASM303	2	7	261	252	0.440863332	0	NA	NA	NA	NA
ASM304	3	4	3622	3574	1	0.010263195	NA	NA	0.00135	0.018
ASM305	2	3	5951	23624	0.608153773	0.031034671	NA	NA	0.551	0.0474
ASM306	5	29	5185	5401	0.027570519	0.041005291	0.056	NA	0.687	0.0929
ASM307	10	18	1758	3157	0.97417053	0.291666667	0.000246	NA	0.444	0.0867
ASM308	9	20	82047	93649	0.178009599	6.10E-05	0.502	NA	0.16	0.0163
ASM309	9	40	29708	28492	0.133871151	0.666666667	0.222	NA	0.294	0.031
ASM310	5	46	12779	10695	0.956657602	0.155266345	0.426	NA	0.778	0.0575
ASM311	8	14	15936	13550	5.60E-05	0	0.0488	NA	0.458	0.0341
ASM312	3	4	726	516	0.480108882	0.01342584	1	NA	NA	NA
ASM313	7	30	8516	12926	0.185273866	0.334472934	0.242	NA	0.0219	0.0362
ASM314	3	22	6907	5093	0.633104862	0.006302837	NA	NA	NA	NA
ASM315	2	3	1126	1087	0.740410815	0.024576288	NA	NA	0.808	0.07
ASM316	9	28	3816	3526	0.080850658	0.016666667	0.47	NA	0.268	0.106
ASM317	2	5	199	38	0.372408953	0.444444444	NA	NA	NA	NA
ASM318	7	11	6961	8325	0.537593257	0.007823656	1	NA	0.131	0.0311
ASM319	5	35	30270	27406	0.891491906	0	0.0995	NA	0.0431	0.0217
ASM320	6	17	35950	36918	0.004556093	0.055221785	0.0707	NA	0.0849	0.0251
ASM321	9	26	3147	3721	4.16E-06	0.703703704	0.766	NA	NA	0.0826
ASM322	2	3	2213	1536	0.926351818	0.018211914	NA	NA	0.313	0.0353
ASM323	9	20	7234	9151	NA	0.050702679	1.48E-11	0.775	0.852	0.0618
ASM324	3	6	5096	5963	0.974407698	0.066200466	NA	NA	NA	NA
ASM325	3	10	1452	2913	0.371965808	0.031663059	NA	NA	NA	NA
ASM326	8	9	5085	4580	1	0.042915279	0.216	NA	0.533	0.033
ASM327	2	4	3218	2909	0.806358539	0.013257486	NA	NA	NA	NA
ASM328	5	8	6565	8216	0.288868892	0.240319865	1	NA	NA	NA
ASM329	7	10	362	0	NA	0.505847953	NA	NA	NA	NA
ASM330	4	27	16946	31924	0.09972825	0.264419558	0.829	NA	NA	0.0735
ASM331	10	18	2781	3961	0.005893272	0	0.0569	NA	0.0948	0.0324
ASM332	2	4	2708	5380	0.037530673	0.158981018	NA	NA	NA	0.174
ASM333	2	3	32	147	0.257385903	0.085858586	1	NA	NA	NA
ASM334	7	7	7450	10196	0.999963742	0.084273406	0.0541	NA	0.0718	0.0509
ASM335	5	5	10695	11457	NA	0.193217118	NA	NA	NA	0.0412
ASM336	2	13	6721	7997	0.024427408	0.076937689	NA	0.985	NA	0.101
ASM337	2	4	276	423	0.089840241	0.005855703	0.000163	NA	NA	NA
ASM338	10	25	21093	33184	NA	0.016422522	NA	NA	0.193	0.0103
ASM339	5	8	1817	1900	NA	0.166137566	0.587	NA	NA	NA
ASM340	5	13	4725	7792	0.758758296	0.029006331	0.277	NA	0.00951	0.0282
ASM341	4	10	9865	6254	NA	0.00315193	NA	NA	NA	NA
ASM342	2	5	218	206	0.89060953	0.184188034	NA	NA	NA	NA
ASM343	2	8	631	1213	0.239035237	0.079045859	NA	NA	NA	NA
ASM344	2	3	358	656	0.521118657	0.025416803	NA	NA	NA	NA
ASM345	5	5	8674	8584	1	0.033168621	0.324	NA	0.201	0.0359
ASM346	2	3	15358	20237	0.004179498	0.131198087	3.07E-07	NA	2.84E-05	0.00878
ASM347	2	3	2823	1614	0.327791948	0.037515962	0.711	NA	0.888	0.0381
