ASM_name	total_isoforms	total_exons	total_read_count_group_1	total_read_count_group_2	iso_p_value	TruePsiDiff	turbo_p_value	majiq_p_value	leafcutter_p_value	jum_p_value
ASM2578	2	3	529	913	0.238971457	0.013461424	0.449	NA	NA	NA
ASM2579	2	3	55	168	0.431536893	0.01007326	0.661	NA	NA	NA
ASM2580	2	3	0	2185	NA	0.613051702	NA	NA	NA	0.589
ASM2581	2	4	0	805	NA	1	NA	NA	NA	NA
ASM2582	7	13	2261	6013	0.098711299	0	NA	NA	0.0963	0.027
ASM2583	2	3	3913	9485	0.711603393	0.001061142	0.317	NA	0.509	0.0357
ASM2584	2	4	4770	11799	0.781527863	0.017379778	NA	NA	NA	NA
ASM2585	5	8	13065	14653	0.02183508	0.016281858	NA	NA	0.193	0.0276
ASM2586	6	26	23502	26855	0.311063826	0	0.55	NA	0.0633	0.0152
ASM2587	5	12	18818	8979	0.318007505	0.153280362	2.53E-07	NA	0.00433	0.0353
ASM2588	2	3	15536	7178	0.811628993	0.025523876	0.345	NA	0.745	0.0803
ASM2589	8	25	48923	18030	0.156536248	0.017444927	1.82E-12	NA	0.0838	0.0846
ASM2590	7	15	1976	2257	0.124747482	0.119619891	0.248	NA	NA	NA
ASM2591	2	3	2688	2906	0.98248809	0.015542944	0.847	NA	0.411	0.0514
ASM2592	3	7	345	331	0.12387927	0.056125356	NA	NA	NA	NA
ASM2593	4	48	9384	3070	0.434014143	0.063492063	0.566	NA	NA	0.116
ASM2594	5	32	9950	12220	0.247811824	0.268855219	3.05E-05	NA	0.192	0.0423
ASM2595	2	4	103	0	NA	0.69047619	NA	NA	NA	NA
ASM2596	9	14	3723	7241	0.32984197	0.054589797	0.0532	NA	0.013	0.0286
ASM2597	5	30	25220	15056	0.166511442	1	0.0518	NA	0.000159	0.0208
ASM2598	4	23	3264	422	0.058677393	0.088888889	5.73E-05	NA	NA	0.106
ASM2599	8	17	3640	3452	NA	0	0.278	NA	0.874	0.0655
ASM2600	3	4	179	312	0.487812301	0.093145045	0.306	NA	NA	0.127
