ASMID	Match	SE	A3SS	A5SS	MXE	SEFDR5	A3SSFDR5	A5SSFDR5	MXEFDR5	Pmin
ASM#19	MJ_3_Junction_14727_Junction_14728_1.67E-1,MJ_intronretentionright-Junction_14724_7.73E-2,MJ_5_Junction_14751_Junction_14752_2.39E-1,MJ_3_Junction_14727_Junction_14728_1.42E-1,MJ_intronretentionright-Junction_14723_6.83E-2,MJ_intronretentionright-Junction_14730_7.11E-2,MJ_intronretentionleft-Junction_14723_4.97E-2,MJ_5_Junction_14751_Junction_14752_2.72E-1,MJ_3_Junction_14723_Junction_14724_4.39E-2,MJ_intronretentionleft-Junction_14724_1.15E-1,MJ_intronretentionleft-Junction_14730_1.85E-1,MJ_3_Junction_14723_Junction_14724_5.51E-2	12	0	0	0	0	0	0	0	0.0439
ASM#20	MJ_5_Junction_14860_Junction_14861_Junction_14862_2.65E-2,MJ_5_Junction_14860_Junction_14861_Junction_14862_1.62E-2,MJ_intronretentionright-Junction_14858_3.09E-2,MJ_intronretentionleft-Junction_14858_2.37E-2,MJ_intronretentionleft-Junction_14862_2.68E-2,MJ_intronretentionright-Junction_14860_2.22E-2,MJ_intronretentionleft-Junction_14860_2.35E-2,MJ_intronretentionright-Junction_14862_2.52E-2,MJ_5_Junction_14860_Junction_14861_Junction_14862_2.20E-2,MJ_intronretentionright-Junction_14861_2.08E-2,MJ_intronretentionleft-Junction_14861_1.69E-2	11	0	0	0	0	0	0	0	0.0162
ASM#21	MJ_3_Junction_15028_Junction_15032_1.70E-1,MJ_5_Junction_15027_Junction_15028_Junction_15029_2.23E-1,MJ_3_Junction_15027_Junction_15031_8.55E-1,MJ_3_Junction_15072_Junction_15074_1.90E-1,MJ_5_Junction_15031_Junction_15032_7.75E-1,MJ_3_Junction_15029_Junction_15033_2.16E-2,MJ_intronretentionright-Junction_15027_2.19E-1,MJ_intronretentionleft-Junction_15033_1.18E-1,MJ_intronretentionright-Junction_15028_4.48E-2,MJ_5_Junction_14981_Junction_14984_6.09E-2,MJ_intronretentionleft-Junction_15031_1.74E+0,MJ_intronretentionright-Junction_15031_2.13E+0,MJ_5_Junction_15027_Junction_15028_Junction_15029_6.32E-2,MJ_intronretentionleft-Junction_15032_1.24E-1,MJ_3_Junction_15072_Junction_15074_1.14E-1,MJ_intronretentionright-Junction_15029_6.94E-2,MJ_3_Junction_15029_Junction_15033_2.46E-2,MJ_5_Junction_15027_Junction_15028_Junction_15029_5.12E-2,MJ_intronretentionleft-Junction_15029_3.02E-2,MJ_5_Junction_14981_Junction_14984_4.87E-2,MJ_3_Junction_15028_Junction_15032_1.73E-1,MJ_3_Junction_14984_Junction_14989_6.26E-2,MJ_intronretentionleft-Junction_15027_2.36E-1,MJ_5_Junction_15031_Junction_15032_5.16E-1,MJ_3_Junction_14984_Junction_14989_7.35E-2,MJ_intronretentionright-Junction_15033_5.59E-2,MJ_intronretentionleft-Junction_15028_7.18E-2,MJ_intronretentionright-Junction_15032_1.91E-1,MJ_3_Junction_15027_Junction_15031_9.76E-1	29	0	0	0	0	0	0	0	0.0216
ASM#22	MJ_intronretentionright-Junction_15136_1.38E-1,MJ_intronretentionright-Junction_15135_3.36E-2,MJ_intronretentionleft-Junction_15135_6.30E-2,MJ_intronretentionleft-Junction_15142_5.00E-2,MJ_intronretentionleft-Junction_15136_3.01E-1,MJ_intronretentionright-Junction_15142_2.72E-1	6	0	0	0	0	0	0	0	0.0336
ASM#23	MJ_intronretentionright-Junction_15264_6.35E-2,MJ_3_Junction_15186_Junction_15202_3.37E-2,MJ_3_Junction_15186_Junction_15202_4.15E-2,MJ_intronretentionleft-Junction_15264_2.62E-2,MJ_intronretentionright-Junction_15186_2.47E-1,MJ_intronretentionleft-Junction_15186_2.21E-2	6	0	0	0	0	0	0	0	0.0221
ASM#24	NA	0	0	0	0	0	0	0	0	1
ASM#25	MJ_3_Junction_15525_Junction_15528_5.51E-2,MJ_5_Junction_15527_Junction_15528_Junction_15529_7.66E-2,MJ_5_Junction_15527_Junction_15528_Junction_15529_4.87E-2,MJ_5_Junction_15527_Junction_15528_Junction_15529_1.95E-1,MJ_3_Junction_15525_Junction_15528_7.94E-2	5	0	0	0	0	0	0	0	0.0487
ASM#26	MJ_5_Junction_15771_Junction_15772_1.55E-1,MJ_3_Junction_15772_Junction_15773_2.39E-1,MJ_5_Junction_15771_Junction_15772_2.02E-1,MJ_intronretentionleft-Junction_15772_1.20E-1,MJ_intronretentionright-Junction_15771_3.48E-1,MJ_intronretentionright-Junction_15773_3.12E-1,MJ_intronretentionleft-Junction_15773_1.37E-1,MJ_intronretentionleft-Junction_15771_2.24E-1,MJ_3_Junction_15772_Junction_15773_1.69E-1,MJ_intronretentionright-Junction_15772_1.72E-1,MJ_intronretentionleft-Junction_15774_6.89E-2,MJ_intronretentionright-Junction_15774_5.10E-2	12	0	0	0	0	0	0	0	0.051
ASM#27	MJ_5_Junction_16500_Junction_16501_3.28E-1,MJ_5_Junction_16500_Junction_16501_2.33E-1	2	0	0	0	0	0	0	0	0.233
ASM#28	MJ_intronretentionleft-Junction_17210_2.41E-2,MJ_intronretentionright-Junction_17210_2.53E-2	2	0	0	0	0	0	0	0	0.0241
ASM#29	MJ_intronretentionleft-Junction_20299_1.84E-1,MJ_intronretentionright-Junction_20299_5.78E-1,MJ_5_Junction_20527_Junction_20528_2.55E-2,MJ_5_Junction_20527_Junction_20528_2.69E-2	4	0	0	0	0	0	0	0	0.0255
ASM#30	NA	0	0	0	0	0	0	0	0	1
ASM#31	MJ_3_Junction_22998_Junction_23449_9.46E-2,MJ_3_Junction_22998_Junction_23449_2.94E-1	2	0	0	0	0	0	0	0	0.0946
ASM#32	MJ_5_Junction_23723_Junction_23724_1.41E-1,MJ_5_Junction_23723_Junction_23724_1.35E-1	2	0	0	0	0	0	0	0	0.135
